,year,county_name,subject_race,count,population,relative_arrest
4,2009,Alameda,white,40816,1369005,0.029814354220766177
9,2010,Alameda,white,88777,1369005,0.06484782743671498
14,2011,Alameda,white,99736,1369005,0.07285291142106859
19,2012,Alameda,white,85170,1369005,0.06221306715461229
24,2013,Alameda,white,86386,1369005,0.06310130350144813
29,2014,Alameda,white,76349,1369005,0.0557697013524421
34,2015,Alameda,white,74545,1369005,0.05445195598262972
39,2016,Alameda,white,32809,1369005,0.02396558084156011
44,2009,Amador,white,5532,16260,0.34022140221402214
49,2010,Amador,white,11780,16260,0.7244772447724477
54,2011,Amador,white,12982,16260,0.79840098400984
59,2012,Amador,white,9158,16260,0.5632226322263223
64,2013,Amador,white,9406,16260,0.5784747847478475
69,2014,Amador,white,8755,16260,0.5384378843788438
74,2015,Amador,white,7303,16260,0.4491389913899139
79,2016,Amador,white,4595,16260,0.28259532595325954
84,2009,Butte,white,14518,136242,0.106560385196929
89,2010,Butte,white,31645,136242,0.2322705186359566
94,2011,Butte,white,28885,136242,0.21201244843733943
99,2012,Butte,white,25740,136242,0.1889285242436253
104,2013,Butte,white,25563,136242,0.18762936539393138
109,2014,Butte,white,22063,136242,0.16193978362032266
114,2015,Butte,white,22498,136242,0.1651326316407569
119,2016,Butte,white,10740,136242,0.07883031664244507
124,2009,Calaveras,white,8413,3836,2.193169968717414
129,2010,Calaveras,white,16593,3836,4.325599582898853
134,2011,Calaveras,white,15077,3836,3.9303962460896766
139,2012,Calaveras,white,12655,3836,3.299009384775808
144,2013,Calaveras,white,9861,3836,2.570646506777894
149,2014,Calaveras,white,8201,3836,2.1379040667361835
154,2015,Calaveras,white,9045,3836,2.357924921793535
159,2016,Calaveras,white,4025,3836,1.0492700729927007
164,2009,Colusa,white,5397,11094,0.4864791779340184
169,2010,Colusa,white,12071,11094,1.0880656210564268
174,2011,Colusa,white,11935,11094,1.0758067423832702
179,2012,Colusa,white,10670,11094,0.9617811429601586
184,2013,Colusa,white,7448,11094,0.6713538849828736
189,2014,Colusa,white,7275,11094,0.6557598702001082
194,2015,Colusa,white,10271,11094,0.9258157562646475
199,2016,Colusa,white,5322,11094,0.4797187669010276
204,2009,Contra Costa,white,12804,853808,0.014996345782658396
209,2010,Contra Costa,white,31126,853808,0.03645550287652493
214,2011,Contra Costa,white,31412,853808,0.03679047279950527
219,2012,Contra Costa,white,27297,853808,0.03197088806851189
224,2013,Contra Costa,white,26230,853808,0.030721192586623692
229,2014,Contra Costa,white,21053,853808,0.024657768491276728
234,2015,Contra Costa,white,18310,853808,0.021445102411783445
