,year,county_name,subject_sex,count,population,relative_arrest
0,2009,Alameda,female,34786,1369005,0.025409695362690422
2,2010,Alameda,female,76046,1369005,0.05554837272325521
4,2011,Alameda,female,87530,1369005,0.063936946906695
6,2012,Alameda,female,74437,1369005,0.05437306657024627
8,2013,Alameda,female,76476,1369005,0.05586246945774486
10,2014,Alameda,female,69083,1369005,0.05046219699708913
12,2015,Alameda,female,67701,1369005,0.04945270470158984
14,2016,Alameda,female,30140,1369005,0.02201598971515809
16,2009,Amador,female,2239,16260,0.13769987699876998
18,2010,Amador,female,4773,16260,0.29354243542435426
20,2011,Amador,female,5100,16260,0.31365313653136534
22,2012,Amador,female,3638,16260,0.22373923739237392
24,2013,Amador,female,3865,16260,0.23769987699877
26,2014,Amador,female,3611,16260,0.22207872078720786
28,2015,Amador,female,3014,16260,0.18536285362853627
30,2016,Amador,female,1957,16260,0.12035670356703566
32,2009,Butte,female,6795,136242,0.04987448804333466
34,2010,Butte,female,14787,136242,0.10853481305324349
36,2011,Butte,female,13213,136242,0.09698184113562631
38,2012,Butte,female,11938,136242,0.08762349348952599
40,2013,Butte,female,11857,136242,0.08702896316847962
42,2014,Butte,female,10205,136242,0.07490348057133629
44,2015,Butte,female,10468,136242,0.07683386914461032
46,2016,Butte,female,5062,136242,0.03715447512514496
48,2009,Calaveras,female,3282,3836,0.8555787278415016
50,2010,Calaveras,female,6259,3836,1.6316475495307612
52,2011,Calaveras,female,5668,3836,1.4775808133472368
54,2012,Calaveras,female,4693,3836,1.2234098018769552
56,2013,Calaveras,female,3811,3836,0.9934827945776851
58,2014,Calaveras,female,3367,3836,0.8777372262773723
60,2015,Calaveras,female,3637,3836,0.9481230448383733
62,2016,Calaveras,female,1575,3836,0.41058394160583944
64,2009,Colusa,female,2400,11094,0.21633315305570577
66,2010,Colusa,female,5375,11094,0.4844961240310077
68,2011,Colusa,female,5220,11094,0.4705246078961601
70,2012,Colusa,female,4759,11094,0.42897061474670994
72,2013,Colusa,female,3606,11094,0.32504056246619795
74,2014,Colusa,female,3510,11094,0.3163872363439697
76,2015,Colusa,female,4936,11094,0.4449251847845682
78,2016,Colusa,female,2702,11094,0.24355507481521543
80,2009,Contra Costa,female,9552,853808,0.011187526938140659
82,2010,Contra Costa,female,24124,853808,0.02825459588104117
84,2011,Contra Costa,female,25296,853808,0.02962726983115642
86,2012,Contra Costa,female,22360,853808,0.026188557614826753
88,2013,Contra Costa,female,21355,853808,0.025011477990367858
90,2014,Contra Costa,female,17786,853808,0.020831381294155127
92,2015,Contra Costa,female,15682,853808,0.018367127035586454
94,2016,Contra Costa,female,6652,853808,0.007790978768060266
96,2009,Del Norte,female,1861,7643,0.24349077587334816
98,2010,Del Norte,female,3462,7643,0.4529634960094204
100,2011,Del Norte,female,3908,7643,0.5113175454664399
102,2012,Del Norte,female,3316,7643,0.4338610493261808
104,2013,Del Norte,female,3169,7643,0.41462776396702866
106,2014,Del Norte,female,3403,7643,0.445244014130577
108,2015,Del Norte,female,3967,7643,0.5190370273452832
110,2016,Del Norte,female,1759,7643,0.23014523093026298
112,2009,El Dorado,female,4201,31792,0.13214016104680423
114,2010,El Dorado,female,8003,31792,0.2517299949672874
116,2011,El Dorado,female,8252,31792,0.2595621540010065
118,2012,El Dorado,female,8765,31792,0.2756982888777051
120,2013,El Dorado,female,9513,31792,0.2992262204328133
122,2014,El Dorado,female,7907,31792,0.24871036738802216
124,2015,El Dorado,female,6983,31792,0.21964645193759436
126,2016,El Dorado,female,3297,31792,0.10370533467539003
128,2009,Fresno,female,14788,758745,0.019490079012052797
130,2010,Fresno,female,31753,758745,0.04184936968283152
132,2011,Fresno,female,30017,758745,0.039561380964619204
134,2012,Fresno,female,28820,758745,0.037983775840367974
136,2013,Fresno,female,24893,758745,0.03280812394150868
138,2014,Fresno,female,20044,758745,0.02641730752756196
140,2015,Fresno,female,21447,758745,0.02826641361722318
142,2016,Fresno,female,11597,758745,0.01528444997990102
144,2009,Glenn,female,3224,13457,0.2395779148398603
146,2010,Glenn,female,6610,13457,0.4911941740358178
148,2011,Glenn,female,5373,13457,0.39927175447722374
150,2012,Glenn,female,5089,13457,0.37816749647023856
152,2013,Glenn,female,5116,13457,0.3801738871962547
154,2014,Glenn,female,4729,13457,0.35141562012335587
156,2015,Glenn,female,4534,13457,0.3369250204354611
158,2016,Glenn,female,1743,13457,0.12952366797949022
160,2009,Humboldt,female,4675,62707,0.07455308019838296
162,2010,Humboldt,female,8362,62707,0.13335034366179213
164,2011,Humboldt,female,7786,62707,0.12416476629403415
166,2012,Humboldt,female,6241,62707,0.09952636866697498
168,2013,Humboldt,female,5952,62707,0.09491763280016585
170,2014,Humboldt,female,6245,62707,0.09959015739869552
172,2015,Humboldt,female,6788,62707,0.10824947772975904
174,2016,Humboldt,female,3955,62707,0.06307110848868547
176,2009,Imperial,female,9110,136750,0.06661791590493601
178,2010,Imperial,female,18661,136750,0.13646069469835467
180,2011,Imperial,female,18461,136750,0.1349981718464351
182,2012,Imperial,female,17099,136750,0.12503839122486288
184,2013,Imperial,female,19672,136750,0.14385374771480805
186,2014,Imperial,female,21235,136750,0.15528336380255942
188,2015,Imperial,female,22426,136750,0.1639926873857404
190,2016,Imperial,female,9545,136750,0.06979890310786106
192,2009,Inyo,female,2557,3879,0.6591905130188193
194,2010,Inyo,female,5408,3879,1.394173756122712
196,2011,Inyo,female,5396,3879,1.3910801753029132
198,2012,Inyo,female,4444,3879,1.145656096932199
200,2013,Inyo,female,4092,3879,1.0549110595514308
202,2014,Inyo,female,4025,3879,1.0376385666408867
204,2015,Inyo,female,4726,3879,1.2183552461974736
206,2016,Inyo,female,3092,3879,0.797112657901521
208,2009,Kern,female,28031,541699,0.05174644959654716
210,2010,Kern,female,60014,541699,0.11078846370401274
212,2011,Kern,female,59526,541699,0.10988759440205723
214,2012,Kern,female,53159,541699,0.09813383447264994
