,year,county_name,subject_sex,count,population,relative_arrest
216,2013,Kern,female,50283,541699,0.09282461293079736
218,2014,Kern,female,46519,541699,0.08587610462636999
220,2015,Kern,female,45219,541699,0.08347624787935735
222,2016,Kern,female,22680,541699,0.041868270017112824
224,2009,Kings,female,4087,118816,0.03439772421222731
226,2010,Kings,female,9278,118816,0.07808712631295449
228,2011,Kings,female,8865,118816,0.07461116347966604
230,2012,Kings,female,8465,118816,0.07124461352006464
232,2013,Kings,female,8787,118816,0.07395468623754377
234,2014,Kings,female,7438,118816,0.06260099649878804
236,2015,Kings,female,6061,118816,0.05101164826286022
238,2016,Kings,female,2514,118816,0.021158766496094803
240,2009,Lake,female,2639,4753,0.5552282768777614
242,2010,Lake,female,5890,4753,1.2392173364191037
244,2011,Lake,female,4818,4753,1.0136755733221123
246,2012,Lake,female,3661,4753,0.7702503681885126
248,2013,Lake,female,3703,4753,0.7790868924889544
250,2014,Lake,female,4180,4753,0.8794445613296865
252,2015,Lake,female,3519,4753,0.7403745003155902
254,2016,Lake,female,2024,4753,0.4258363139070061
256,2009,Lassen,female,2904,17947,0.16180977322115117
258,2010,Lassen,female,6660,17947,0.3710926617261938
260,2011,Lassen,female,5782,17947,0.32217083635147936
262,2012,Lassen,female,4999,17947,0.2785423747701566
264,2013,Lassen,female,5267,17947,0.29347523262940883
266,2014,Lassen,female,4187,17947,0.2332980442413774
268,2015,Lassen,female,5252,17947,0.29263943834624173
270,2016,Lassen,female,2704,17947,0.1506658494455898
272,2009,Los Angeles,female,144806,8725476,0.016595770820984436
274,2010,Los Angeles,female,305855,8725476,0.03505310197403557
276,2011,Los Angeles,female,315453,8725476,0.03615309926931207
278,2012,Los Angeles,female,291142,8725476,0.033366890241861874
280,2013,Los Angeles,female,282079,8725476,0.03232820765308391
282,2014,Los Angeles,female,258383,8725476,0.029612481886375025
284,2015,Los Angeles,female,229038,8725476,0.02624934158319844
286,2016,Los Angeles,female,105820,8725476,0.012127705124625866
288,2009,Madera,female,6013,80136,0.07503494060097833
290,2010,Madera,female,11368,80136,0.1418588399720475
292,2011,Madera,female,9539,80136,0.11903514026155536
294,2012,Madera,female,8972,80136,0.11195966856344215
296,2013,Madera,female,7382,80136,0.09211839872217231
298,2014,Madera,female,6934,80136,0.08652790256563841
300,2015,Madera,female,8189,80136,0.10218877907557153
302,2016,Madera,female,4503,80136,0.056191973644803835
304,2009,Marin,female,11294,184982,0.0610545890951552
306,2010,Marin,female,21409,184982,0.11573558508395411
308,2011,Marin,female,20481,184982,0.11071888075596545
310,2012,Marin,female,20572,184982,0.11121082051226606
312,2013,Marin,female,22007,184982,0.11896833205392957
314,2014,Marin,female,15223,184982,0.08229449351828827
316,2015,Marin,female,15861,184982,0.08574347774378048
318,2016,Marin,female,7724,184982,0.041755414040285
320,2009,Mendocino,female,7015,28685,0.24455290221370055
322,2010,Mendocino,female,13836,28685,0.48234268781593165
324,2011,Mendocino,female,12624,28685,0.440090639707164
326,2012,Mendocino,female,12363,28685,0.4309918075649294
328,2013,Mendocino,female,12678,28685,0.4419731567021091
330,2014,Mendocino,female,11348,28685,0.3956074603451281
332,2015,Mendocino,female,12037,28685,0.4196269827435942
334,2016,Mendocino,female,5786,28685,0.2017082098657835
336,2009,Merced,female,9777,166626,0.05867631702135321
338,2010,Merced,female,19307,166626,0.11587027234645253
340,2011,Merced,female,17122,166626,0.10275707272574508
342,2012,Merced,female,15996,166626,0.0959994238594217
344,2013,Merced,female,17190,166626,0.1031651723020417
346,2014,Merced,female,14899,166626,0.0894158174594601
348,2015,Merced,female,14258,166626,0.08556887880642877
350,2016,Merced,female,6620,166626,0.03972969404534706
352,2009,Modoc,female,1192,2827,0.42164839051998587
354,2010,Modoc,female,2038,2827,0.7209055535903784
356,2011,Modoc,female,1525,2827,0.5394411036434382
358,2012,Modoc,female,1645,2827,0.5818889281924301
360,2013,Modoc,female,1761,2827,0.6229218252564556
362,2014,Modoc,female,1761,2827,0.6229218252564556
364,2015,Modoc,female,1378,2827,0.48744251857092324
366,2016,Modoc,female,738,2827,0.2610541209763
368,2009,Mono,female,1495,8234,0.18156424581005587
370,2010,Mono,female,3666,8234,0.44522710711683267
372,2011,Mono,female,3711,8234,0.45069225163954335
374,2012,Mono,female,3444,8234,0.4182657274714598
376,2013,Mono,female,2770,8234,0.3364100072868594
378,2014,Mono,female,3104,8234,0.37697352441097887
380,2015,Mono,female,3512,8234,0.426524168083556
382,2016,Mono,female,1862,8234,0.22613553558416322
384,2009,Monterey,female,13475,314844,0.04279897345987219
386,2010,Monterey,female,27894,314844,0.08859625719403895
388,2011,Monterey,female,25165,314844,0.0799284725133717
390,2012,Monterey,female,25533,314844,0.0810973053321645
392,2013,Monterey,female,21004,314844,0.06671240360305421
394,2014,Monterey,female,19953,314844,0.06337424248199108
396,2015,Monterey,female,20056,314844,0.06370138862420754
398,2016,Monterey,female,8896,314844,0.028255262923860706
400,2009,Napa,female,3701,90817,0.04075228206172853
402,2010,Napa,female,8663,90817,0.09538962969488092
404,2011,Napa,female,8460,90817,0.09315436537212196
406,2012,Napa,female,7598,90817,0.08366275036612088
408,2013,Napa,female,8619,90817,0.09490513890571149
410,2014,Napa,female,8195,90817,0.09023640948280608
412,2015,Napa,female,8718,90817,0.0959952431813427
414,2016,Napa,female,3942,90817,0.04340597024786108
416,2009,Nevada,female,4467,15928,0.28044952285283775
418,2010,Nevada,female,9246,15928,0.5804871923656454
420,2011,Nevada,female,7703,15928,0.48361376192867905
422,2012,Nevada,female,5994,15928,0.3763184329482672
424,2013,Nevada,female,7671,15928,0.4816047212456052
426,2014,Nevada,female,7476,15928,0.46936212958312407
428,2015,Nevada,female,7898,15928,0.4958563535911602
430,2016,Nevada,female,3932,15928,0.24686087393269715
432,2009,Orange,female,37309,2669596,0.013975522888107415
434,2010,Orange,female,78806,2669596,0.0295198224750112
436,2011,Orange,female,85432,2669596,0.03200184597219954
438,2012,Orange,female,75087,2669596,0.028126727789523208
440,2013,Orange,female,66562,2669596,0.02493336070326746
442,2014,Orange,female,65285,2669596,0.024455011170229503
444,2015,Orange,female,62130,2669596,0.02327318440692899
446,2016,Orange,female,28772,2669596,0.010777660739677465
448,2009,Placer,female,6744,240304,0.028064451694520275
450,2010,Placer,female,10430,240304,0.043403355749384115
452,2011,Placer,female,8884,240304,0.03696983820494041
454,2012,Placer,female,9859,240304,0.04102719888141687
456,2013,Placer,female,8688,240304,0.036154204674079496
458,2014,Placer,female,8118,240304,0.033782209201677876
460,2015,Placer,female,7791,240304,0.03242143285172115
462,2016,Placer,female,3710,240304,0.015438777548438644
464,2009,Plumas,female,2579,2104,1.2257604562737643
466,2010,Plumas,female,4288,2104,2.038022813688213
468,2011,Plumas,female,3965,2104,1.8845057034220531
470,2012,Plumas,female,3116,2104,1.4809885931558935
472,2013,Plumas,female,2698,2104,1.282319391634981
474,2014,Plumas,female,2817,2104,1.3388783269961977
476,2015,Plumas,female,2764,2104,1.3136882129277567
478,2016,Plumas,female,1781,2104,0.8464828897338403
480,2009,Riverside,female,23722,1453648,0.016318943788317393
482,2010,Riverside,female,47450,1453648,0.0326420151233311
484,2011,Riverside,female,50772,1453648,0.03492730014418897
486,2012,Riverside,female,46651,1453648,0.03209236348827226
488,2013,Riverside,female,42526,1453648,0.029254675134558022
490,2014,Riverside,female,42250,1453648,0.029064807986527687
492,2015,Riverside,female,38099,1453648,0.026209233597129428
494,2016,Riverside,female,19167,1453648,0.013185447921367483
496,2009,Sacramento,female,38461,563142,0.06829716128436522
498,2010,Sacramento,female,79706,563142,0.141538013502811
500,2011,Sacramento,female,71386,563142,0.12676376473429438
502,2012,Sacramento,female,60306,563142,0.10708844305699096
504,2013,Sacramento,female,56014,563142,0.09946691953361675
506,2014,Sacramento,female,48386,563142,0.0859214904944046
508,2015,Sacramento,female,50775,563142,0.09016375976219142
510,2016,Sacramento,female,21762,563142,0.03864389443515135
512,2009,San Benito,female,5970,36790,0.16227235661864636
514,2010,San Benito,female,13134,36790,0.35699918456102203
516,2011,San Benito,female,13718,36790,0.3728730633324273
518,2012,San Benito,female,13606,36790,0.36982875781462354
520,2013,San Benito,female,11379,36790,0.3092960043490079
522,2014,San Benito,female,9148,36790,0.24865452568632782
524,2015,San Benito,female,9655,36790,0.262435444414243
526,2016,San Benito,female,4551,36790,0.12370209296004349
528,2009,San Bernardino,female,48922,1647935,0.02968685051291465
530,2010,San Bernardino,female,94051,1647935,0.05707203257410031
532,2011,San Bernardino,female,95793,1647935,0.05812911310215512
534,2012,San Bernardino,female,83978,1647935,0.0509595342049292
536,2013,San Bernardino,female,75386,1647935,0.04574573633061984
538,2014,San Bernardino,female,67758,1647935,0.041116912985038855
540,2015,San Bernardino,female,66211,1647935,0.04017816236684092
542,2016,San Bernardino,female,34056,1647935,0.020665863641466442
544,2009,San Diego,female,55671,2608709,0.021340440808077864
546,2010,San Diego,female,113438,2608709,0.04348434417177232
548,2011,San Diego,female,112873,2608709,0.04326776194661804
550,2012,San Diego,female,103379,2608709,0.0396284139012822
552,2013,San Diego,female,103567,2608709,0.039700480199209645
554,2014,San Diego,female,102376,2608709,0.03924393253521186
556,2015,San Diego,female,94726,2608709,0.03631144753976009
558,2016,San Diego,female,40741,2608709,0.015617303424797476
560,2009,San Francisco,female,8690,805235,0.010791880631120108
562,2010,San Francisco,female,20217,805235,0.025106956354356183
564,2011,San Francisco,female,21374,805235,0.026543803982688283
566,2012,San Francisco,female,19360,805235,0.02404267077312834
568,2013,San Francisco,female,19522,805235,0.024243854278564642
570,2014,San Francisco,female,17282,805235,0.021462057660186155
572,2015,San Francisco,female,17238,805235,0.021407415226610865
574,2016,San Francisco,female,6360,805235,0.007898315398610344
576,2009,San Joaquin,female,16473,543311,0.03031965117584588
578,2010,San Joaquin,female,29443,543311,0.054191798067773335
580,2011,San Joaquin,female,26573,543311,0.048909372348433955
582,2012,San Joaquin,female,23775,543311,0.04375946741369124
584,2013,San Joaquin,female,23645,543311,0.043520193774836145
586,2014,San Joaquin,female,22038,543311,0.04056240348529663
588,2015,San Joaquin,female,23069,543311,0.042460027498062804
590,2016,San Joaquin,female,11091,543311,0.020413722527244986
592,2009,San Luis Obispo,female,8749,151519,0.057741933354892784
594,2010,San Luis Obispo,female,16543,151519,0.10918102680191923
596,2011,San Luis Obispo,female,15418,151519,0.10175621539212903
598,2012,San Luis Obispo,female,15470,151519,0.10209940667507045
600,2013,San Luis Obispo,female,13041,151519,0.0860684138622879
602,2014,San Luis Obispo,female,13138,151519,0.08670859760162092
604,2015,San Luis Obispo,female,15856,151519,0.10464694196767402
606,2016,San Luis Obispo,female,7788,151519,0.0513994944528409
608,2009,San Mateo,female,10857,657229,0.016519356266993697
610,2010,San Mateo,female,22550,657229,0.034310719703482345
612,2011,San Mateo,female,25115,657229,0.038213468973523686
614,2012,San Mateo,female,22481,657229,0.03420573346580872
616,2013,San Mateo,female,22498,657229,0.03423159964030802
618,2014,San Mateo,female,21166,657229,0.032204908791304096
620,2015,San Mateo,female,17355,657229,0.026406321084431757
622,2016,San Mateo,female,7650,657229,0.011639778524684698
624,2009,Santa Barbara,female,31167,255762,0.12185938489689634
626,2010,Santa Barbara,female,61009,255762,0.23853817220697368
628,2011,Santa Barbara,female,62624,255762,0.24485263643543606
630,2012,Santa Barbara,female,58418,255762,0.22840766024663556
632,2013,Santa Barbara,female,54803,255762,0.21427342607580485
634,2014,Santa Barbara,female,54552,255762,0.21329204494803763
636,2015,Santa Barbara,female,52365,255762,0.2047411265160579
638,2016,Santa Barbara,female,25401,255762,0.09931498815304854
640,2009,Santa Clara,female,17077,1691682,0.010094686826483937
642,2010,Santa Clara,female,33366,1691682,0.01972356506719348
644,2011,Santa Clara,female,38515,1691682,0.022767281321193936
646,2012,Santa Clara,female,37118,1691682,0.021941475998444152
648,2013,Santa Clara,female,31067,1691682,0.018364562606920213
650,2014,Santa Clara,female,28539,1691682,0.01687019191550185
652,2015,Santa Clara,female,26203,1691682,0.015489317732292476
654,2016,Santa Clara,female,13713,1691682,0.008106133422238931
656,2009,Santa Cruz,female,7634,132643,0.057552980556833
658,2010,Santa Cruz,female,17169,132643,0.12943766350278568
660,2011,Santa Cruz,female,17322,132643,0.1305911356045928
662,2012,Santa Cruz,female,16696,132643,0.12587170073053233
664,2013,Santa Cruz,female,16304,132643,0.12291639965923569
666,2014,Santa Cruz,female,13657,132643,0.10296057839463824
668,2015,Santa Cruz,female,13908,132643,0.10485287576426951
670,2016,Santa Cruz,female,6126,132643,0.04618411827235512
672,2009,Shasta,female,6275,99793,0.06288016193520587
674,2010,Shasta,female,13057,99793,0.13084084053991762
676,2011,Shasta,female,11485,99793,0.11508823264156805
678,2012,Shasta,female,11379,99793,0.11402603389015262
680,2013,Shasta,female,10014,99793,0.10034771977994449
682,2014,Shasta,female,10050,99793,0.10070846652570821
684,2015,Shasta,female,10269,99793,0.10290300922910424
686,2016,Shasta,female,4809,99793,0.04818975278827172
688,2009,Sierra,female,4400,769,5.721716514954486
690,2010,Sierra,female,7457,769,9.697009102730819
692,2011,Sierra,female,6314,769,8.210663198959688
694,2012,Sierra,female,5885,769,7.652795838751626
696,2013,Sierra,female,5762,769,7.492847854356307
698,2014,Sierra,female,6229,769,8.100130039011704
700,2015,Sierra,female,6022,769,7.830949284785436
702,2016,Sierra,female,2218,769,2.8842652795838752
704,2009,Siskiyou,female,4936,20744,0.23794832240647898
706,2010,Siskiyou,female,10217,20744,0.492527959892017
708,2011,Siskiyou,female,9598,20744,0.4626880061704589
710,2012,Siskiyou,female,7640,20744,0.3682992672580023
712,2013,Siskiyou,female,8883,20744,0.42822020825298884
714,2014,Siskiyou,female,7836,20744,0.3777477824913228
716,2015,Siskiyou,female,7587,20744,0.36574431160817583
718,2016,Siskiyou,female,3340,20744,0.1610104126494408
720,2009,Solano,female,10930,394510,0.02770525461965476
722,2010,Solano,female,23391,394510,0.05929127271805531
724,2011,Solano,female,22401,394510,0.056781830625332694
726,2012,Solano,female,20056,394510,0.05083774809257053
728,2013,Solano,female,20288,394510,0.05142581937086512
730,2014,Solano,female,16479,394510,0.04177080428886467
732,2015,Solano,female,17653,394510,0.04474664774023472
734,2016,Solano,female,8805,394510,0.022318825885275406
736,2009,Sonoma,female,10952,311891,0.03511483178418101
738,2010,Sonoma,female,25131,311891,0.08057622695108227
740,2011,Sonoma,female,24465,311891,0.07844086555880099
742,2012,Sonoma,female,20572,311891,0.06595894078379946
744,2013,Sonoma,female,17500,311891,0.05610934589327682
746,2014,Sonoma,female,17867,311891,0.057286039032867254
748,2015,Sonoma,female,18068,311891,0.05793049494855575
750,2016,Sonoma,female,8374,311891,0.026849123572017148
752,2009,Stanislaus,female,8900,404217,0.02201787653661276
754,2010,Stanislaus,female,17730,404217,0.04386257876338699
756,2011,Stanislaus,female,16557,404217,0.04096067211423567
758,2012,Stanislaus,female,14151,404217,0.03500842369321429
760,2013,Stanislaus,female,13443,404217,0.03325688924513318
762,2014,Stanislaus,female,12434,404217,0.03076070526474641
764,2015,Stanislaus,female,11789,404217,0.02916502769551998
766,2016,Stanislaus,female,5854,404217,0.014482320139924842
768,2009,Sutter,female,3787,73317,0.05165241349209597
770,2010,Sutter,female,8428,73317,0.11495287586780692
772,2011,Sutter,female,7876,73317,0.10742392623811667
774,2012,Sutter,female,7694,73317,0.10494155516455939
776,2013,Sutter,female,8261,73317,0.11267509581679556
778,2014,Sutter,female,9531,73317,0.12999713572568436
780,2015,Sutter,female,8731,73317,0.11908561452323473
782,2016,Sutter,female,3265,73317,0.04453264590749758
784,2009,Tehama,female,3228,22157,0.14568759308570656
786,2010,Tehama,female,6141,22157,0.2771584600803358
788,2011,Tehama,female,6315,22157,0.2850115087782642
790,2012,Tehama,female,5507,22157,0.24854447804305638
792,2013,Tehama,female,4718,22157,0.2129349641196913
794,2014,Tehama,female,5228,22157,0.23595252064810218
796,2015,Tehama,female,5354,22157,0.2416392110845331
798,2016,Tehama,female,2234,22157,0.10082592408719591
800,2009,Tulare,female,9995,299307,0.03339380635935678
802,2010,Tulare,female,19840,299307,0.06628645504448609
804,2011,Tulare,female,20284,299307,0.0677698817601994
806,2012,Tulare,female,20956,299307,0.07001506814073843
808,2013,Tulare,female,19862,299307,0.06635995817003945
810,2014,Tulare,female,17799,299307,0.05946736962383105
812,2015,Tulare,female,17285,299307,0.0577500693268116
814,2016,Tulare,female,8380,299307,0.027998008733507735
816,2009,Tuolumne,female,2582,4903,0.5266163573322455
818,2010,Tuolumne,female,5842,4903,1.191515398735468
820,2011,Tuolumne,female,5306,4903,1.082194574750153
822,2012,Tuolumne,female,5055,4903,1.0310014276973283
824,2013,Tuolumne,female,5571,4903,1.1362431164593105
826,2014,Tuolumne,female,5067,4903,1.0334489088313277
828,2015,Tuolumne,female,5214,4903,1.0634305527228227
830,2016,Tuolumne,female,2593,4903,0.5288598817050785
832,2009,Yolo,female,3393,176458,0.0192283716238425
834,2010,Yolo,female,5878,176458,0.03331104285439028
836,2011,Yolo,female,6502,176458,0.03684729510705097
838,2012,Yolo,female,7150,176458,0.04051955706173707
840,2013,Yolo,female,8325,176458,0.047178365390064494
842,2014,Yolo,female,7270,176458,0.041199605571864126
844,2015,Yolo,female,6691,176458,0.037918371510501085
846,2016,Yolo,female,3224,176458,0.0182706366387469
