,year,county_name,subject_race,count,population,relative_arrest
2,2009,Alameda,hispanic,25689,1369005,0.018764723284429203
7,2010,Alameda,hispanic,53915,1369005,0.03938261730234732
12,2011,Alameda,hispanic,62428,1369005,0.04560100218772028
17,2012,Alameda,hispanic,57151,1369005,0.04174637784376244
22,2013,Alameda,hispanic,61494,1369005,0.04491875486210788
27,2014,Alameda,hispanic,59122,1369005,0.043186109619760334
32,2015,Alameda,hispanic,60567,1369005,0.044241620739149966
37,2016,Alameda,hispanic,30294,1369005,0.022128480173556706
42,2009,Amador,hispanic,637,16260,0.039175891758917586
47,2010,Amador,hispanic,1425,16260,0.08763837638376384
52,2011,Amador,hispanic,1399,16260,0.08603936039360394
57,2012,Amador,hispanic,962,16260,0.059163591635916356
62,2013,Amador,hispanic,1096,16260,0.06740467404674047
67,2014,Amador,hispanic,1206,16260,0.07416974169741697
72,2015,Amador,hispanic,1027,16260,0.06316113161131612
77,2016,Amador,hispanic,690,16260,0.042435424354243544
82,2009,Butte,hispanic,1844,136242,0.013534739654438426
87,2010,Butte,hispanic,4165,136242,0.030570602310594382
92,2011,Butte,hispanic,3630,136242,0.02664376623948562
97,2012,Butte,hispanic,3370,136242,0.02473539730773183
102,2013,Butte,hispanic,3250,136242,0.02385461164692239
107,2014,Butte,hispanic,3213,136242,0.02358303606817281
112,2015,Butte,hispanic,3614,136242,0.026526328151377697
117,2016,Butte,hispanic,1839,136242,0.0134980402519047
122,2009,Calaveras,hispanic,662,3836,0.17257559958289886
127,2010,Calaveras,hispanic,1208,3836,0.3149113660062565
132,2011,Calaveras,hispanic,1182,3836,0.308133472367049
137,2012,Calaveras,hispanic,946,3836,0.24661105318039625
142,2013,Calaveras,hispanic,775,3836,0.20203336809176226
147,2014,Calaveras,hispanic,672,3836,0.17518248175182483
152,2015,Calaveras,hispanic,861,3836,0.22445255474452555
157,2016,Calaveras,hispanic,472,3836,0.12304483837330553
162,2009,Colusa,hispanic,1392,11094,0.12547322877230935
167,2010,Colusa,hispanic,3097,11094,0.2791599062556337
172,2011,Colusa,hispanic,3334,11094,0.3005228051198846
177,2012,Colusa,hispanic,2888,11094,0.26032089417703264
182,2013,Colusa,hispanic,2322,11094,0.20930232558139536
187,2014,Colusa,hispanic,2501,11094,0.22543717324680007
192,2015,Colusa,hispanic,3652,11094,0.32918694789976566
197,2016,Colusa,hispanic,1860,11094,0.167658193618172
202,2009,Contra Costa,hispanic,5564,853808,0.006516687592526657
207,2010,Contra Costa,hispanic,12800,853808,0.014991660888630699
212,2011,Contra Costa,hispanic,12922,853808,0.015134550156475461
217,2012,Contra Costa,hispanic,11456,853808,0.013417536495324477
222,2013,Contra Costa,hispanic,11493,853808,0.013460871765080673
227,2014,Contra Costa,hispanic,10275,853808,0.012034321533646909
232,2015,Contra Costa,hispanic,9369,853808,0.010973193036373518
237,2016,Contra Costa,hispanic,4133,853808,0.004840666754118022
242,2009,Del Norte,hispanic,244,7643,0.031924636922674346
247,2010,Del Norte,hispanic,496,7643,0.06489598325264949
252,2011,Del Norte,hispanic,538,7643,0.07039120764097867
257,2012,Del Norte,hispanic,595,7643,0.07784901216799686
262,2013,Del Norte,hispanic,542,7643,0.07091456234462908
267,2014,Del Norte,hispanic,558,7643,0.07300798115923067
272,2015,Del Norte,hispanic,720,7643,0.09420384665707184
277,2016,Del Norte,hispanic,373,7643,0.04880282611539971
282,2009,El Dorado,hispanic,796,31792,0.025037745344740816
287,2010,El Dorado,hispanic,1573,31792,0.04947785606441872
292,2011,El Dorado,hispanic,1478,31792,0.046489682939104174
297,2012,El Dorado,hispanic,1497,31792,0.047087317564167085
302,2013,El Dorado,hispanic,1825,31792,0.057404378459989934
307,2014,El Dorado,hispanic,1535,31792,0.048282586814292906
312,2015,El Dorado,hispanic,1467,31792,0.046143683945646705
317,2016,El Dorado,hispanic,800,31792,0.025163563160543533
322,2009,Fresno,hispanic,24390,758745,0.032145187118201766
327,2010,Fresno,hispanic,51162,758745,0.06742976889468794
332,2011,Fresno,hispanic,49794,758745,0.06562679160982939
337,2012,Fresno,hispanic,49619,758745,0.06539614758581605
342,2013,Fresno,hispanic,43355,758745,0.05714040949199006
347,2014,Fresno,hispanic,35036,758745,0.04617625157332173
352,2015,Fresno,hispanic,37237,758745,0.04907709441248377
357,2016,Fresno,hispanic,21035,758745,0.027723411686403205
362,2009,Glenn,hispanic,1651,13457,0.1226870773575091
367,2010,Glenn,hispanic,3407,13457,0.2531767853161923
372,2011,Glenn,hispanic,2730,13457,0.20286839563052686
377,2012,Glenn,hispanic,2461,13457,0.1828787991379951
382,2013,Glenn,hispanic,2864,13457,0.21282603849297763
387,2014,Glenn,hispanic,2698,13457,0.20049045106635952
