,year,county_name,subject_race,count,population,relative_arrest
0,2009,Alameda,asian/pacific islander,13886,1369005,0.01014313315144941
5,2010,Alameda,asian/pacific islander,29569,1369005,0.02159889847005672
10,2011,Alameda,asian/pacific islander,34250,1369005,0.025018170130861467
15,2012,Alameda,asian/pacific islander,30341,1369005,0.022162811677093948
20,2013,Alameda,asian/pacific islander,31346,1369005,0.02289692148677324
25,2014,Alameda,asian/pacific islander,27683,1369005,0.020221255583434683
30,2015,Alameda,asian/pacific islander,28767,1369005,0.021013071537357424
35,2016,Alameda,asian/pacific islander,13437,1369005,0.009815157724040452
40,2009,Amador,asian/pacific islander,377,16260,0.023185731857318575
45,2010,Amador,asian/pacific islander,709,16260,0.04360393603936039
50,2011,Amador,asian/pacific islander,600,16260,0.03690036900369004
55,2012,Amador,asian/pacific islander,458,16260,0.02816728167281673
60,2013,Amador,asian/pacific islander,420,16260,0.025830258302583026
65,2014,Amador,asian/pacific islander,446,16260,0.027429274292742927
70,2015,Amador,asian/pacific islander,443,16260,0.027244772447724476
75,2016,Amador,asian/pacific islander,310,16260,0.019065190651906518
80,2009,Butte,asian/pacific islander,479,136242,0.0035158027627310226
85,2010,Butte,asian/pacific islander,1194,136242,0.008763817325053947
90,2011,Butte,asian/pacific islander,1133,136242,0.008316084614142481
95,2012,Butte,asian/pacific islander,1008,136242,0.007398599550799313
100,2013,Butte,asian/pacific islander,920,136242,0.006752690066205722
105,2014,Butte,asian/pacific islander,865,136242,0.006348996638334728
110,2015,Butte,asian/pacific islander,1001,136242,0.007347220387252096
115,2016,Butte,asian/pacific islander,410,136242,0.0030093510077655937
120,2009,Calaveras,asian/pacific islander,161,3836,0.041970802919708027
125,2010,Calaveras,asian/pacific islander,345,3836,0.08993743482794578
130,2011,Calaveras,asian/pacific islander,303,3836,0.07898852971845673
135,2012,Calaveras,asian/pacific islander,239,3836,0.06230448383733055
140,2013,Calaveras,asian/pacific islander,201,3836,0.052398331595411886
145,2014,Calaveras,asian/pacific islander,223,3836,0.05813347236704901
150,2015,Calaveras,asian/pacific islander,222,3836,0.05787278415015641
155,2016,Calaveras,asian/pacific islander,107,3836,0.02789363920750782
160,2009,Colusa,asian/pacific islander,257,11094,0.02316567513971516
165,2010,Colusa,asian/pacific islander,531,11094,0.0478637101135749
170,2011,Colusa,asian/pacific islander,582,11094,0.052460789616008655
175,2012,Colusa,asian/pacific islander,505,11094,0.045520100955471425
180,2013,Colusa,asian/pacific islander,453,11094,0.04083288263926447
185,2014,Colusa,asian/pacific islander,497,11094,0.04479899044528574
190,2015,Colusa,asian/pacific islander,643,11094,0.057959257256174505
195,2016,Colusa,asian/pacific islander,370,11094,0.033351361096087974
200,2009,Contra Costa,asian/pacific islander,1973,853808,0.0023108239791615913
205,2010,Contra Costa,asian/pacific islander,4832,853808,0.005659351985458089
210,2011,Contra Costa,asian/pacific islander,5037,853808,0.005899452804377565
215,2012,Contra Costa,asian/pacific islander,4595,853808,0.005381772014317036
220,2013,Contra Costa,asian/pacific islander,4088,853808,0.0047879616963064295
225,2014,Contra Costa,asian/pacific islander,3304,853808,0.0038697224668777994
230,2015,Contra Costa,asian/pacific islander,2908,853808,0.003405917958135787
235,2016,Contra Costa,asian/pacific islander,1217,853808,0.0014253790079268407
240,2009,Del Norte,asian/pacific islander,104,7643,0.013607222294910376
