,year,state,subject_sex,nb_arrest,nb_arrest_state,percentage
0,2009,ca,female,747190,2494343,29.9553830407446
1,2009,ca,male,1747113,2494343,70.04301333056439
2,2010,ca,female,1538376,5060321,30.40075916132593
3,2010,ca,male,3521890,5060321,69.5981539511031
4,2011,ca,female,1543720,5047002,30.586871176195295
5,2011,ca,male,3503282,5047002,69.4131288238047
6,2012,ca,female,1404726,4588924,30.61122825307196
7,2012,ca,male,3184198,4588924,69.38877174692803
8,2013,ca,female,1345581,4415601,30.473337604552587
9,2013,ca,male,3070020,4415601,69.52666239544742
10,2014,ca,female,1244512,4135931,30.090250538512368
11,2014,ca,male,2891419,4135931,69.90974946148764
12,2015,ca,female,1197666,4027143,29.739842861303906
13,2015,ca,male,2829477,4027143,70.26015713869609
14,2016,ca,female,561367,1914268,29.325413160539693
15,2016,ca,male,1352901,1914268,70.6745868394603
16,2009,tx,female,761051,2441270,31.17438874028682
17,2009,tx,male,1680219,2441270,68.82561125971318
18,2010,tx,female,800762,2524704,31.717064653915866
19,2010,tx,male,1723942,2524704,68.28293534608414
20,2011,tx,female,832139,2587556,32.15926534536837
21,2011,tx,male,1755417,2587556,67.84073465463163
22,2012,tx,female,787176,2435070,32.32662716061551
23,2012,tx,male,1647894,2435070,67.6733728393845
24,2013,tx,female,697938,2133954,32.706328252624
25,2013,tx,male,1436016,2133954,67.293671747376
26,2014,tx,female,612197,1878458,32.59040127594016
27,2014,tx,male,1266261,1878458,67.40959872405983
28,2015,tx,female,576733,1745352,33.043936122913884
29,2015,tx,male,1168619,1745352,66.95606387708611
30,2016,tx,female,611320,1831975,33.36945100233354
31,2016,tx,male,1220655,1831975,66.63054899766645
