,year,county_name,subject_sex,count,population,relative_arrest
1,2009,Alameda,male,79651,1369005,0.05818167209031377
3,2010,Alameda,male,169080,1369005,0.1235057578314177
5,2011,Alameda,male,193958,1369005,0.141678080065449
7,2012,Alameda,male,171618,1369005,0.1253596590224287
9,2013,Alameda,male,179918,1369005,0.13142245645560097
11,2014,Alameda,male,164692,1369005,0.12030051022457916
13,2015,Alameda,male,166939,1369005,0.1219418482766681
15,2016,Alameda,male,79270,1369005,0.0579033677744055
17,2009,Amador,male,4773,16260,0.29354243542435426
19,2010,Amador,male,10182,16260,0.6261992619926199
21,2011,Amador,male,10954,16260,0.6736777367773678
23,2012,Amador,male,7739,16260,0.4759532595325953
25,2013,Amador,male,7761,16260,0.4773062730627306
27,2014,Amador,male,7562,16260,0.46506765067650674
29,2015,Amador,male,6562,16260,0.4035670356703567
31,2016,Amador,male,4189,16260,0.2576260762607626
33,2009,Butte,male,11053,136242,0.08112769924105635
35,2010,Butte,male,24560,136242,0.1802674652456658
37,2011,Butte,male,22484,136242,0.16502987331366245
39,2012,Butte,male,20201,136242,0.14827292611676282
41,2013,Butte,male,19936,136242,0.1463278577824753
43,2014,Butte,male,17941,136242,0.13168479617151832
45,2015,Butte,male,18952,136242,0.1391054153638379
47,2016,Butte,male,9145,136242,0.06712320723418623
49,2009,Calaveras,male,6266,3836,1.6334723670490094
51,2010,Calaveras,male,12499,3836,3.258342022940563
53,2011,Calaveras,male,11467,3836,2.9893117831074036
55,2012,Calaveras,male,9597,3836,2.5018248175182483
57,2013,Calaveras,male,7422,3836,1.934827945776851
59,2014,Calaveras,male,6076,3836,1.583941605839416
61,2015,Calaveras,male,6905,3836,1.8000521376433785
63,2016,Calaveras,male,3222,3836,0.8399374348279458
65,2009,Colusa,male,5349,11094,0.4821525148729043
67,2010,Colusa,male,11833,11094,1.0666125833784028
69,2011,Colusa,male,12263,11094,1.1053722733008833
71,2012,Colusa,male,10827,11094,0.9759329367225528
73,2013,Colusa,male,7845,11094,0.7071389940508382
75,2014,Colusa,male,8102,11094,0.7303046691905535
77,2015,Colusa,male,11366,11094,1.0245177573463133
79,2016,Colusa,male,5804,11094,0.5231656751397151
81,2009,Contra Costa,male,18016,853808,0.02110076270074771
