,year,county_name,subject_race,count,population,relative_arrest
1,2009,Alameda,black,20976,1369005,0.01532207698291825
6,2010,Alameda,black,45665,1369005,0.0333563427452785
11,2011,Alameda,black,50774,1369005,0.03708825022552876
16,2012,Alameda,black,42798,1369005,0.03126212102950683
21,2013,Alameda,black,44100,1369005,0.0322131767232406
26,2014,Alameda,black,39020,1369005,0.028502452511130347
31,2015,Alameda,black,37098,1369005,0.027098513153713828
36,2016,Alameda,black,17706,1369005,0.012933480885752791
41,2009,Amador,black,184,16260,0.01131611316113161
46,2010,Amador,black,353,16260,0.021709717097170973
51,2011,Amador,black,405,16260,0.024907749077490774
56,2012,Amador,black,273,16260,0.01678966789667897
61,2013,Amador,black,249,16260,0.015313653136531366
66,2014,Amador,black,272,16260,0.016728167281672816
71,2015,Amador,black,319,16260,0.01961869618696187
76,2016,Amador,black,195,16260,0.011992619926199263
81,2009,Butte,black,487,136242,0.0035745218067849854
86,2010,Butte,black,1022,136242,0.007501357877893748
91,2011,Butte,black,919,136242,0.006745350185698977
96,2012,Butte,black,881,136242,0.0064664347264426535
101,2013,Butte,black,906,136242,0.006649931739111287
106,2014,Butte,black,909,136242,0.0066719513806315234
111,2015,Butte,black,1037,136242,0.007611456085494928
116,2016,Butte,black,542,136242,0.00397821523465598
121,2009,Calaveras,black,148,3836,0.03858185610010428
126,2010,Calaveras,black,262,3836,0.06830031282586027
131,2011,Calaveras,black,246,3836,0.06412930135557873
136,2012,Calaveras,black,224,3836,0.058394160583941604
141,2013,Calaveras,black,176,3836,0.045881126173096975
146,2014,Calaveras,black,151,3836,0.039363920750782065
151,2015,Calaveras,black,186,3836,0.048488008342022944
156,2016,Calaveras,black,73,3836,0.019030239833159542
161,2009,Colusa,black,278,11094,0.025058590228952588
166,2010,Colusa,black,625,11094,0.056336758608256716
171,2011,Colusa,black,677,11094,0.06102397692446367
176,2012,Colusa,black,603,11094,0.05435370470524608
181,2013,Colusa,black,508,11094,0.04579051739679106
186,2014,Colusa,black,529,11094,0.047683432486028486
