,year,county_name,subject_sex,nb_arrest,relative
0,2009,Alameda,female,34786,0.0415837346941947
1,2009,Alameda,male,79651,0.09867921419377058
2,2010,Alameda,female,76046,0.09090659140328668
3,2010,Alameda,male,169080,0.20947234229178205
4,2011,Alameda,female,87530,0.10463474667345662
5,2011,Alameda,male,193958,0.24029356852513284
6,2012,Alameda,female,74437,0.0889831673498468
7,2012,Alameda,male,171618,0.21261665743689998
8,2013,Alameda,female,76476,0.09142062020563543
9,2013,Alameda,male,179918,0.2228994847436293
10,2014,Alameda,female,69083,0.08258291105269512
11,2014,Alameda,male,164692,0.20403607166263407
12,2015,Alameda,female,67701,0.08093084639026261
13,2015,Alameda,male,166939,0.20681986840458838
14,2016,Alameda,female,30140,0.03602983279718934
15,2016,Alameda,male,79270,0.09820719525354603
16,2009,Alpine,female,1895,3.548689138576779
17,2009,Alpine,male,5210,8.513071895424837
18,2010,Alpine,female,3465,6.48876404494382
19,2010,Alpine,male,9480,15.490196078431373
20,2011,Alpine,female,4241,7.941947565543071
21,2011,Alpine,male,10916,17.836601307189543
22,2012,Alpine,female,3389,6.346441947565543
23,2012,Alpine,male,9935,16.233660130718953
24,2013,Alpine,female,3534,6.617977528089888
25,2013,Alpine,male,9524,15.562091503267974
26,2014,Alpine,female,3213,6.01685393258427
27,2014,Alpine,male,9197,15.027777777777779
28,2015,Alpine,female,3267,6.117977528089888
29,2015,Alpine,male,9014,14.72875816993464
30,2016,Alpine,female,1394,2.6104868913857677
31,2016,Alpine,male,4270,6.977124183006536
32,2009,Amador,female,2239,0.12774576367889542
33,2009,Amador,male,4773,0.23509999014875382
34,2010,Amador,female,4773,0.2723227021167342
35,2010,Amador,male,10182,0.5015269431583095
36,2011,Amador,female,5100,0.2909796314258002
37,2011,Amador,male,10954,0.539552753423308
38,2012,Amador,female,3638,0.2075654704170708
39,2012,Amador,male,7739,0.3811939710373362
40,2013,Amador,female,3865,0.22051691675700347
41,2013,Amador,male,7761,0.38227760811742684
42,2014,Amador,female,3611,0.2060249900154048
43,2014,Amador,male,7562,0.37247561816569796
44,2015,Amador,female,3014,0.1719632566896788
45,2015,Amador,male,6562,0.32321938725248744
46,2016,Amador,female,1957,0.1116563017059394
47,2016,Amador,male,4189,0.20633435129543887
48,2009,Butte,female,6795,0.059312861158150175
49,2009,Butte,male,11053,0.09823753699572493
50,2010,Butte,female,14787,0.12907421308985528
51,2010,Butte,male,24560,0.21828588696417303
52,2011,Butte,female,13213,0.11533492781201446
53,2011,Butte,male,22484,0.1998346857696444
54,2012,Butte,female,11938,0.10420558300309003
55,2012,Butte,male,20201,0.17954369717277113
56,2013,Butte,female,11857,0.10349854227405247
57,2013,Butte,male,19936,0.17718841378329614
58,2014,Butte,female,10205,0.08907840296084217
59,2014,Butte,male,17941,0.15945712939838064
60,2015,Butte,female,10468,0.09137410310574187
61,2015,Butte,male,18952,0.1684427577257739
62,2016,Butte,female,5062,0.044185681115902306
63,2016,Butte,male,9145,0.08127949659150498
64,2009,Calaveras,female,3282,0.14394105521687645
65,2009,Calaveras,male,6266,0.2793081929214585
66,2010,Calaveras,female,6259,0.27450550414455505
67,2010,Calaveras,male,12499,0.5571454042970492
68,2011,Calaveras,female,5668,0.2485855883513881
69,2011,Calaveras,male,11467,0.5111437995899082
70,2012,Calaveras,female,4693,0.20582430595149337
71,2012,Calaveras,male,9597,0.42778817865739505
72,2013,Calaveras,female,3811,0.1671417920266655
73,2013,Calaveras,male,7422,0.3308371222251939
74,2014,Calaveras,female,3367,0.1476689618876365
75,2014,Calaveras,male,6076,0.2708389052331283
76,2015,Calaveras,female,3637,0.15951054778299198
77,2015,Calaveras,male,6905,0.3077917446732638
78,2016,Calaveras,female,1575,0.06907591772290689
79,2016,Calaveras,male,3222,0.14362128911473657
80,2009,Colusa,female,2400,0.23210831721470018
81,2009,Colusa,male,5349,0.4808522114347357
82,2010,Colusa,female,5375,0.519825918762089
83,2010,Colusa,male,11833,1.0637360661632507
84,2011,Colusa,female,5220,0.504835589941973
85,2011,Colusa,male,12263,1.1023912261776339
86,2012,Colusa,female,4759,0.4602514506769826
87,2012,Colusa,male,10827,0.9733009708737864
88,2013,Colusa,female,3606,0.34874274661508703
89,2013,Colusa,male,7845,0.7052319309600863
90,2014,Colusa,female,3510,0.33945841392649906
91,2014,Colusa,male,8102,0.7283351312477526
92,2015,Colusa,female,4936,0.4773694390715667
93,2015,Colusa,male,11366,1.021754764473211
94,2016,Colusa,female,2702,0.26131528046421665
95,2016,Colusa,male,5804,0.5217547644732111
96,2009,Contra Costa,female,9552,0.016481866840595914
97,2009,Contra Costa,male,18016,0.032537416403437956
98,2010,Contra Costa,female,24124,0.04162568631307955
99,2010,Contra Costa,male,42291,0.07637876760200903
100,2011,Contra Costa,female,25296,0.043647958919568075
101,2011,Contra Costa,male,43871,0.0792322932412981
